Owner,Name,Stars,Url,CreatedAt,IdadeAnos
opencv,opencv,84298,https://github.com/opencv/opencv,2012-07-19T09:40:17Z,13.17
sveltejs,svelte,84260,https://github.com/sveltejs/svelte,2016-11-20T18:13:05Z,8.83
gohugoio,hugo,83853,https://github.com/gohugoio/hugo,2013-07-04T15:26:26Z,12.17
mermaid-js,mermaid,83191,https://github.com/mermaid-js/mermaid,2014-11-01T23:52:32Z,10.83
gothinkster,realworld,82371,https://github.com/gothinkster/realworld,2016-02-26T20:49:53Z,9.58
animate-css,animate.css,82267,https://github.com/animate-css/animate.css,2011-10-12T10:07:38Z,13.92
laravel,laravel,82261,https://github.com/laravel/laravel,2011-06-08T03:06:08Z,14.25
macrozheng,mall,81708,https://github.com/macrozheng/mall,2018-04-04T01:11:44Z,7.42
home-assistant,core,81623,https://github.com/home-assistant/core,2013-09-17T07:29:48Z,12.00
3b1b,manim,80819,https://github.com/3b1b/manim,2015-03-22T18:50:58Z,10.50
oven-sh,bun,80619,https://github.com/oven-sh/bun,2021-04-14T00:48:17Z,4.42
microsoft,markitdown,80214,https://github.com/microsoft/markitdown,2024-11-13T19:56:40Z,0.83
tonsky,FiraCode,80208,https://github.com/tonsky/FiraCode,2014-11-11T19:32:38Z,10.83
bregman-arie,devops-exercises,78591,https://github.com/bregman-arie/devops-exercises,2019-10-03T17:31:21Z,5.92
spring-projects,spring-boot,78560,https://github.com/spring-projects/spring-boot,2012-10-19T15:02:57Z,12.92
doocs,advanced-java,78306,https://github.com/doocs/advanced-java,2018-10-06T11:38:30Z,6.92
MunGell,awesome-for-beginners,78073,https://github.com/MunGell/awesome-for-beginners,2015-10-24T19:53:36Z,9.92
immich-app,immich,77877,https://github.com/immich-app/immich,2022-02-03T15:56:27Z,3.58
microsoft,ML-For-Beginners,77722,https://github.com/microsoft/ML-For-Beginners,2021-03-03T01:34:05Z,4.50
tensorflow,models,77643,https://github.com/tensorflow/models,2016-02-05T01:15:20Z,9.58
microsoft,playwright,77628,https://github.com/microsoft/playwright,2019-11-15T18:32:42Z,5.83
DopplerHQ,awesome-interview-questions,77415,https://github.com/DopplerHQ/awesome-interview-questions,2015-11-28T09:48:17Z,9.83
google-gemini,gemini-cli,77332,https://github.com/google-gemini/gemini-cli,2025-04-17T17:04:31Z,0.42
ByteByteGoHq,system-design-101,77128,https://github.com/ByteByteGoHq/system-design-101,2023-09-18T20:52:03Z,2.00
nomic-ai,gpt4all,76730,https://github.com/nomic-ai/gpt4all,2023-03-27T18:49:32Z,2.50
syncthing,syncthing,76486,https://github.com/syncthing/syncthing,2013-11-26T09:48:21Z,11.83
MisterBooo,LeetCodeAnimation,76466,https://github.com/MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,6.75
fighting41love,funNLP,76308,https://github.com/fighting41love/funNLP,2018-08-21T11:20:39Z,7.08
netdata,netdata,76225,https://github.com/netdata/netdata,2013-06-17T18:39:10Z,12.25
anuraghazra,github-readme-stats,76220,https://github.com/anuraghazra/github-readme-stats,2020-07-09T10:34:22Z,5.17
